action_in_proj.bias	shape=(1024,)	dtype=torch.bfloat16	numel=1024
action_in_proj.weight	shape=(1024, 32)	dtype=torch.bfloat16	numel=32768
action_out_proj.bias	shape=(32,)	dtype=torch.bfloat16	numel=32
action_out_proj.weight	shape=(32, 1024)	dtype=torch.bfloat16	numel=32768
paligemma_with_expert.gemma_expert.lm_head.weight	shape=(257152, 1024)	dtype=torch.bfloat16	numel=263323648
paligemma_with_expert.gemma_expert.model.layers.0.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.0.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.0.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.0.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.0.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.0.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.0.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.0.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.0.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.0.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.0.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.1.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.1.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.1.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.1.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.1.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.1.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.1.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.1.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.1.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.1.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.1.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.10.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.10.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.10.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.10.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.10.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.10.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.10.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.10.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.10.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.10.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.10.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
